pathway	your_input	Souris_tax_id(10090)	entrez(10090)	gene_symbol(10090)	title(10090)	location(10090)	chrom(10090)	status(10090)	type(10090)	aliases(10090)	database(10090)	humain_tax_id(9606)	entrez(9606)	gene_symbol(9606)	title(9606)	location(9606)	chrom(9606)	status(9606)	type(9606)	aliases(9606)	database(9606)
Detox	Abca9	10090	217262	Abca9	ATP-binding cassette, sub-family A member 9	11 E1|11 73.22 cM	11	active	protein-coding	[OTTMUSG00000003233, MGI:2386796, 2386796, D630040K07Rik, ENSMUSG00000041797]	EpiMed GENSYM	9606	10350	ABCA9	ATP binding cassette subfamily A member 9	17q24.2	17	active	protein-coding	[MIM:612507, RGD:1305931, NM_172386, 39, ABCA9, CCDS11681, EST640918, ENSG00000154258, OTTHUMG00000140371, MGI:2386796, Q8IUA7, uc002jhu.4, HGNC:39, AF423307]	NCBI GENE
Detox	Abcb10	10090	56199	Abcb10	ATP-binding cassette, sub-family B member 10	8 E2|8 72.31 cM	8	active	protein-coding	[ABC-m, OTTMUSG00000031206, MGI:1860508, 1860508, ENSMUSG00000031974, Abc-me, Abcb12]	EpiMed GENSYM	9606	23456	ABCB10	ATP binding cassette subfamily B member 10	1q42.13	1	active	protein-coding	[MIM:605454, U18237, OTTHUMG00000039471, CCDS1580, M-ABC2, ENSG00000135776, HGNC:41, MGI:1860508, ABCB10, MTABC2, EST20237, NM_012089, RGD:1311222, Q9NRK6, 41, uc001htp.4]	NCBI GENE
Detox	Abcb11	10090	27413	Abcb11	ATP-binding cassette, sub-family B member 11	2 C2|2 39.69 cM	2	active	protein-coding	[Lith1, SPGP, Bsep, PGY, ENSMUSG00000027048, PFIC2, ABC1, Bs, PFI, ABC16, Lit, PGY4, 1351619, OTTMUSG00000012983, MGI:1351619]	EpiMed GENSYM	9606	8647	ABCB11	ATP binding cassette subfamily B member 11	2q31.1	2	active	protein-coding	[BRIC2, SPGP, ENSG00000073734, uc002ueo.2, BSEP, MIM:603201, OTTHUMG00000154039, PFIC2, NM_003742, ABCB11, O95342, RGD:619930, AF091582, CCDS46444, ABC16, PFIC-2, PGY4, HGNC:42, ENSG00000276582, 42, MGI:1351619]	NCBI GENE
Detox	ABCB4	10090	18671	Abcb1a	ATP-binding cassette, sub-family B member 1A	5 A1|5 3.43 cM	5	active	protein-coding	[MGI:97570, mdr-, P-gp, Pgy, Mdr1a, 97570, mdr-3, Pgy-, P, ENSMUSG00000040584, Evi32, Pgy3, Abcb4, Pgp, OTTMUSG00000029053, Evi, Mdr, Mdr3, P-, Pgy-3]	NCBI GENE										
Detox	Abcb4	10090	18670	Abcb4	ATP-binding cassette, sub-family B member 4	5 A1|5 3.43 cM	5	active	protein-coding	[mdr-, Pgy, OTTMUSG00000054368, 97569, MGI:97569, Pgy-, mdr-2, Pgy-2, ENSMUSG00000042476, Mdr2, Pgy2, Mdr]	EpiMed GENSYM	9606	5244	ABCB4	ATP binding cassette subfamily B member 4	7q21.12	7	active	protein-coding	[45, NM_000443, ABCB4, GBD1, MGI:97569, ENSG00000005471, P21439, CCDS5605, MIM:171060, CCDS5606, MDR2/3, ABC21, CCDS5607, MDR2, PGY3, HGNC:45, PFIC-3, uc003uix.1, M23234, RGD:620248, MDR3, OTTHUMG00000023396, ICP3]	NCBI GENE
Detox	Abcb5	10090	77706	Abcb5	ATP-binding cassette, sub-family B member 5	12 F2|12 63.48 cM	12	active	protein-coding	[OTTMUSG00000036992, 9230106F14Rik, ENSMUSG00000072791, MGI:1924956, 1924956]	EpiMed GENSYM	9606	340273	ABCB5	ATP binding cassette subfamily B member 5	7p21.1	7	active	protein-coding	[ENSG00000004846, 46, CCDS5371, U66692, NM_178559, ABCB5alpha, RGD:1566342, ABCB5, MIM:611785, Q2M3G0, ABCB5beta, OTTHUMG00000094789, EST422562, uc010kuh.4, HGNC:46, MGI:1924956, CCDS55091, CCDS55090, CCDS55092]	NCBI GENE
Detox	Abcb6	10090	74104	Abcb6	ATP-binding cassette, sub-family B member 6	1 C4|1 38.62 cM	1	active	protein-coding	[1200005B17Rik, ENSMUSG00000026198, 1921354, OTTMUSG00000034720, MGI:1921354]	EpiMed GENSYM	9606	10058	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	2q35	2	active	protein-coding	[uc002vkc.3, ABC, 47, ABCB6, ENSG00000115657, NM_005689, Q9NP58, PRP, EST45597, OTTHUMG00000133131, AF070598, CCDS2436, RGD:71077, LAN, HGNC:47, CCDS86920, MTABC3, MGI:1921354, umat, MIM:605452]	NCBI GENE
Detox	Abcb7	10090	11306	Abcb7	ATP-binding cassette, sub-family B member 7	X D|X 46.58 cM	X	active	protein-coding	[ENSMUSG00000031333, AA517758, Abc, AU019072, OTTMUSG00000018115, 109533, Abc7, MGI:109533]	EpiMed GENSYM	9606	22	ABCB7	ATP binding cassette subfamily B member 7	Xq13.3	X	active	protein-coding	[ENSG00000131269, CCDS14428, 48, ABCB7, O75027, CCDS75994, CCDS65290, MIM:300135, MGI:109533, ABC7, CCDS65291, Atm1p, AF038950, NM_004299, RGD:1303086, HGNC:48, OTTHUMG00000021862, uc004ebz.5, ASAT, EST140535]	NCBI GENE
LTPmito	Abcb8	10090	74610	Abcb8	ATP-binding cassette, sub-family B member 8	5 A3|5 11.57 cM	5	active	protein-coding	[1351667, MGI:1351667, OTTMUSG00000024149, ENSMUSG00000028973, AA409895, 4833412N02Rik, MITOSUR]	EpiMed GENSYM	9606	11194	ABCB8	ATP binding cassette subfamily B member 8	7q36.1	7	active	protein-coding	[ENSG00000197150, AF047690, MIM:605464, EST328128, MGI:1351667, 49, MABC1, ABCB8, RGD:1307655, uc003wik.6, Q9NUT2, MITOSUR, CCDS5913, NM_007188, M-ABC1, HGNC:49, CCDS64800, CCDS64799, CCDS64798, OTTHUMG00000158686]	NCBI GENE
Detox	Abcb8	10090	74610	Abcb8	ATP-binding cassette, sub-family B member 8	5 A3|5 11.57 cM	5	active	protein-coding	[1351667, MGI:1351667, OTTMUSG00000024149, ENSMUSG00000028973, AA409895, 4833412N02Rik, MITOSUR]	EpiMed GENSYM	9606	11194	ABCB8	ATP binding cassette subfamily B member 8	7q36.1	7	active	protein-coding	[ENSG00000197150, AF047690, MIM:605464, EST328128, MGI:1351667, 49, MABC1, ABCB8, RGD:1307655, uc003wik.6, Q9NUT2, MITOSUR, CCDS5913, NM_007188, M-ABC1, HGNC:49, CCDS64800, CCDS64799, CCDS64798, OTTHUMG00000158686]	NCBI GENE
Detox	Abcb9	10090	56325	Abcb9	ATP-binding cassette, sub-family B member 9	5 F|5 63.36 cM	5	active	protein-coding	[MGI:1861729, OTTMUSG00000028882, T, mKIAA1520, ENSMUSG00000029408, 1861729, TAPL]	EpiMed GENSYM	9606	23457	ABCB9	ATP binding cassette subfamily B member 9	12q24.31	12	active	protein-coding	[MIM:605453, CCDS9241, CCDS58288, ABCB9, Q9NP78, TAPL, MGI:1861729, HGNC:50, ENSG00000150967, OTTHUMG00000168769, CCDS58286, CCDS58287, NM_019624, uc058upb.1, 50, EST122234, U66676, RGD:620254]	NCBI GENE
Detox	Abcc1	10090	17250	Abcc1	ATP-binding cassette, sub-family C member 1	16 A1|16 9.75 cM	16	active	protein-coding	[Mrp1, Mr, Mdrap, MGI:102676, ENSMUSG00000023088, MRP, Abcc1b, M, Abcc1a, Md, 102676, Abcc, OTTMUSG00000027051]	EpiMed GENSYM	9606	4363	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	16p13.11	16	active	protein-coding	[P33527, ABCC1, MRP1, ENSG00000278183, MIM:158343, L05628, RGD:3112, MGI:102676, MRP, NM_004996, uc010bvi.4, HGNC:51, CCDS42122, GS-X, ABC29, 51, OTTHUMG00000048267, DFNA77, ENSG00000103222, ABCC]	NCBI GENE
Detox	Abcc10	10090	224814	Abcc10	ATP-binding cassette, sub-family C member 10	17 C|17 22.9 cM	17	active	protein-coding	[MGI:2386976, 2386976, Mr, Mrp7, mFLJ00002, OTTMUSG00000036094, ENSMUSG00000032842]	EpiMed GENSYM	9606	89845	ABCC10	ATP binding cassette subfamily C member 10	6p21.1	6	active	protein-coding	[U66684, CCDS56430, EST182763, OTTHUMG00000014733, RGD:1306696, MRP7, SIMRP7, Q5T3U5, ABCC10, NM_033450, HGNC:52, CCDS4896, MGI:2386976, uc003ouz.1, 52, MIM:612509, ENSG00000124574]	NCBI GENE
Detox	Abcc11	10090	27420	Abcc11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11			removed		[]	EpiMed GENSYM	9606	85320	ABCC11	ATP binding cassette subfamily C member 11	16q12.1	16	active	protein-coding	[WW, CCDS10732, CCDS10733, ENSG00000121270, MRP8, Q96J66, ABCC11, HGNC:14639, NM_032583, 14639, uc059txd.1, OTTHUMG00000133146, MIM:607040, EWWD, AF367202]	NCBI GENE
Detox	Abcc12	10090	244562	Abcc12	ATP-binding cassette, sub-family C member 12	8 C3|8 42.06 cM	8	active	protein-coding	[4930467B22Rik, MR, OTTMUSG00000025883, MGI:2441679, MRP9, ENSMUSG00000036872, 2441679]	EpiMed GENSYM	9606	94160	ABCC12	ATP binding cassette subfamily C member 12	16q12.1	16	active	protein-coding	[14640, MRP9, HGNC:14640, CCDS10730, ABCC12, AY040220, Q96J65, OTTHUMG00000133143, NM_033226, MGI:2441679, ENSG00000140798, MIM:607041, uc002efc.1, RGD:735100]	NCBI GENE
Detox	Abcc2	10090	12780	Abcc2	ATP-binding cassette, sub-family C member 2	19 C3|19 36.67 cM	19	active	protein-coding	[ENSMUSG00000025194, 1352447, Mrp2, OTTMUSG00000026258, Cmo, Mr, cMRP, MGI:1352447, Cmoat, AI173996, Abc30]	EpiMed GENSYM	9606	1244	ABCC2	ATP binding cassette subfamily C member 2	10q24.2	10	active	protein-coding	[RGD:2366, MRP2, ABCC2, uc001kqf.3, cMRP, MGI:1352447, CMOAT, DJS, ABC30, OTTHUMG00000018895, CCDS7484, MIM:601107, HGNC:53, ENSG00000023839, NM_000392, U63970, Q92887, 53]	NCBI GENE
Detox	Abcc3	10090	76408	Abcc3	ATP-binding cassette, sub-family C member 3	11 D|11 58.9 cM	11	active	protein-coding	[OTTMUSG00000001891, MOAT-D, ABC31, ENSMUSG00000020865, MLP2, MR, 1700019L09Rik, MGI:1923658, MRP3, 1923658]	EpiMed GENSYM	9606	8714	ABCC3	ATP binding cassette subfamily C member 3	17q21.33	17	active	protein-coding	[ABCC3, MIM:604323, NM_020038, Y17151, MLP2, ENSG00000108846, CCDS32681, cMOAT2, MRP3, RGD:71101, MOAT-D, ABC31, OTTHUMG00000162245, HGNC:54, CCDS45739, EST90757, MGI:1923658, O15438, uc002isl.4, 54]	NCBI GENE
Detox	Abcc4	10090	239273	Abcc4	ATP-binding cassette, sub-family C member 4	14 E4|14 62.24 cM	14	active	protein-coding	[D630049P08Rik, MOAT, MR, ENSMUSG00000032849, 2443111, ABCC4-N1, MOATB, MRP4, MGI:2443111]	EpiMed GENSYM	9606	10257	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	13q32.1	13	active	protein-coding	[55, OTTHUMG00000017216, CCDS9474, ABCC4, U66682, CCDS76643, EST170205, uc001vmd.5, MOATB, CCDS45061, MRP4, NM_005845, HGNC:55, MOAT-B, CCDS86356, MIM:605250, O15439, MGI:2443111, RGD:620266, ENSG00000125257]	NCBI GENE
Detox	Abcc5	10090	27416	Abcc5	ATP-binding cassette, sub-family C member 5	16 A3|16 12.41 cM	16	active	protein-coding	[Abcc5b, 1351644, ENSMUSG00000022822, Abcc5a, 2900011L11Rik, Mr, MGI:1351644, OTTMUSG00000025954, AI132311, Mrp5, Abcc]	EpiMed GENSYM	9606	10057	ABCC5	ATP binding cassette subfamily C member 5	3q27.1	3	active	protein-coding	[CCDS33898, 56, uc003fmg.4, pABC11, ABCC5, O15440, MGI:1351644, RGD:70913, NM_005688, MRP5, MOATC, ABC33, ENSG00000114770, EST277145, HGNC:56, CCDS43176, MOAT-C, OTTHUMG00000156871, MIM:605251, AF104942, SMRP]	NCBI GENE
Detox	Abcc6	10090	27421	Abcc6	ATP-binding cassette, sub-family C member 6	7 29.64 cM|7 B3	7	active	protein-coding	[1351634, MGI:1351634, DCC, Mr, OTTMUSG00000031288, ENSMUSG00000030834, Dysca, Abcc1b, Dyscalc1, Mrp6, dyscalc]	EpiMed GENSYM	9606	368	ABCC6	ATP binding cassette subfamily C member 6	16p13.11	16	active	protein-coding	[ENSG00000091262, OTTHUMG00000129967, EST349056, MIM:603234, CCDS10568, MGI:1351634, AF076622, URG7, O95255, NM_001079528, MOAT-E, ABC34, CCDS58430, RGD:620268, ENSG00000275331, uc002den.5, 57, MLP1, ABCC6, MRP6, ARA, MOATE, PXE1, GACI2, HGNC:57, PXE]	NCBI GENE
Detox	Abcc8	10090	20927	Abcc8	ATP-binding cassette, sub-family C member 8	7 B3|7 29.66 cM	7	active	protein-coding	[Sur, SU, S, 1352629, D930031B21Rik, SUR1, MGI:1352629, OTTMUSG00000058299, ENSMUSG00000040136]	EpiMed GENSYM	9606	6833	ABCC8	ATP binding cassette subfamily C member 8	11p15.1	11	active	protein-coding	[RGD:3786, HI, CCDS73264, MODY12, NM_000352, PNDM3, HHF1, TNDM2, CCDS86183, ABC36, Q09428, HRINS, uc001mnc.4, MGI:1352629, SUR1delta2, ENSG00000006071, PHHI, 59, ABCC8, SUR1, MRP8, CCDS31437, MIM:600509, CCDS86184, SUR, CCDS86185, OTTHUMG00000166316, HGNC:59, L78207]	NCBI GENE
Detox	Abcc9	10090	20928	Abcc9	ATP-binding cassette, sub-family C member 9	6 G2|6 74.35 cM	6	active	protein-coding	[SUR, SU, MGI:1352630, Sur2, OTTMUSG00000057137, SUR2A, AI449286, SUR2B, ENSMUSG00000030249, AI414027, 1352630]	EpiMed GENSYM	9606	10060	ABCC9	ATP binding cassette subfamily C member 9	12p12.1	12	active	protein-coding	[ENSG00000069431, CCDS8693, RGD:3787, MGI:1352630, SUR2, OTTHUMG00000169094, IDMYS, uc001rfi.2, O60706, ABCC9, CMD1O, CCDS8694, LRG_377, HGNC:60, NM_005691, MIM:601439, ABC37, AF061323, 60, ATFB12, CANTU]	NCBI GENE
Detox	Abcd1	10090	11666	Abcd1	ATP-binding cassette, sub-family D member 1	X A7.3|X 37.39 cM	X	active	protein-coding	[1349215, A, OTTMUSG00000017700, Ald, ALDP, MGI:1349215, Aldgh, ENSMUSG00000031378]	EpiMed GENSYM	9606	215	ABCD1	ATP binding cassette subfamily D member 1	Xq28	X	active	protein-coding	[AMN, MIM:300371, NM_000033, CCDS14728, ALDP, P33897, RGD:1562128, HGNC:61, ABC42, adrenoleukodystrophy, uc004fif.2, Z21876, ENSG00000101986, OTTHUMG00000024215, ALD, MGI:1349215, 61, ABCD1]	NCBI GENE
Detox	Abcd1	10090	11666	Abcd1	ATP-binding cassette, sub-family D member 1	X A7.3|X 37.39 cM	X	active	protein-coding	[1349215, A, OTTMUSG00000017700, Ald, ALDP, MGI:1349215, Aldgh, ENSMUSG00000031378]	EpiMed GENSYM	9606	6367	CCL22	C-C motif chemokine ligand 22	16q21	16	active	protein-coding	[CCDS10778, MGI:1306779, O00626, U83171, SCYA22, CCL22, ABCD-1, RGD:619933, MIM:602957, A-152E5.1, MDC, HGNC:10621, DC/B-CK, STCP-1, OTTHUMG00000133454, NM_002990, ENSG00000102962, MGC34554, uc002elh.4, 10621]	NCBI GENE
Detox	Abcd2	10090	26874	Abcd2	ATP-binding cassette, sub-family D member 2	15 E3|15 46.0 cM	15	active	protein-coding	[ALDRP, 1349467, A, ENSMUSG00000055782, ALDR, ALDL1, ABC39, AL, MGI:1349467, ABC3]	EpiMed GENSYM	9606	225	ABCD2	ATP binding cassette subfamily D member 2	12q12	12	active	protein-coding	[ALDRP, 66, ABCD2, MIM:601081, ALDR, ALDL1, CCDS8734, uc001rmb.3, OTTHUMG00000169337, NM_005164, ENSG00000173208, HGNC:66, RGD:69244, U28150, hALDR, ABC39, MGI:1349467, Q9UBJ2]	NCBI GENE
Detox	Abcd2	10090	26874	Abcd2	ATP-binding cassette, sub-family D member 2	15 E3|15 46.0 cM	15	active	protein-coding	[ALDRP, 1349467, A, ENSMUSG00000055782, ALDR, ALDL1, ABC39, AL, MGI:1349467, ABC3]	EpiMed GENSYM	9606	6361	CCL17	C-C motif chemokine ligand 17	16q21	16	active	protein-coding	[MGI:1329039, SCYA17, RGD:619924, CCDS10780, ABCD-2, D43767, NM_002987, A-152E5.3, 10615, HGNC:10615, Q92583, OTTHUMG00000133468, TARC, MIM:601520, uc002elj.1, CCL17, ENSG00000102970]	NCBI GENE
Detox	Abcd3	10090	19299	Abcd3	ATP-binding cassette, sub-family D member 3	3 G1|3 52.94 cM	3	active	protein-coding	[Pxm, AU018866, PMP70, ENSMUSG00000028127, AI313901, OTTMUSG00000031086, AW146054, PMP, Pxmp1, MGI:1349216, PMP68, 1349216]	EpiMed GENSYM	9606	5825	ABCD3	ATP binding cassette subfamily D member 3	1p21.3	1	active	protein-coding	[NM_002858, 67, P28288, ABCD3, PMP70, ENSG00000117528, CBAS5, MIM:170995, ABC43, M81182, HGNC:67, OPDM5, ZWS2, CCDS749, CCDS44175, PXMP1, MGI:1349216, uc001dqn.5, RGD:2007, OTTHUMG00000010717]	NCBI GENE
Detox	Abcd3	10090	19299	Abcd3	ATP-binding cassette, sub-family D member 3	3 G1|3 52.94 cM	3	active	protein-coding	[Pxm, AU018866, PMP70, ENSMUSG00000028127, AI313901, OTTMUSG00000031086, AW146054, PMP, Pxmp1, MGI:1349216, PMP68, 1349216]	EpiMed GENSYM	9606	6376	CX3CL1	C-X3-C motif chemokine ligand 1	16q21	16	active	protein-coding	[P78423, MGI:1097153, CCDS10779, ABCD-3, CXC3C, SCYD1, neurotactin, OTTHUMG00000133469, NTN, NM_002996, CX3CL1, C3Xkine, NTT, ENSG00000006210, 10647, fractalkine, HGNC:10647, RGD:620458, CXC3, U84487, uc002eli.4, MIM:601880]	NCBI GENE
Detox	Abcd4	10090	19300	Abcd4	ATP-binding cassette, sub-family D member 4	12 D1|12 39.3 cM	12	active	protein-coding	[Pxm, P6, Pxmp1l, ENSMUSG00000021240, MGI:1349217, P69r, P70R, 1349217]	EpiMed GENSYM	9606	5826	ABCD4	ATP binding cassette subfamily D member 4	14q24.3	14	active	protein-coding	[ABCD4, MAHCJ, 68, uc001xpr.3, MIM:603214, P79R, OTTHUMG00000171207, P70R, ABC41, AF009746, EST352188, ENSG00000119688, CCDS9828, PXMP1L, MGI:1349217, HGNC:68, O14678, NM_005050, RGD:1307273, PMP69]	NCBI GENE
Detox	Abce1	10090	24015	Abce1	ATP-binding cassette, sub-family E member 1	8 C1|8 37.77 cM	8	active	protein-coding	[ENSMUSG00000058355, RNS4I, Oabp, MGI:1195458, RLI, O, 1195458, R, Rnaseli, C79080, OTTMUSG00000061313, RNS41]	EpiMed GENSYM	9606	6059	ABCE1	ATP binding cassette subfamily E member 1	4q31.21	4	active	protein-coding	[69, OABP, RNS4I, RLI1, RGD:1305301, RNASELI, X74987, MGI:1195458, NM_002940, RLI, RNASEL1, OTTHUMG00000161478, uc003ijy.4, CCDS34071, ABC38, P61221, ENSG00000164163, MIM:601213, HGNC:69, ABCE1]	NCBI GENE
Detox	Abcf1	10090	224742	Abcf1	ATP-binding cassette, sub-family F member 1	17 B1|17 18.8 cM	17	active	protein-coding	[1351658, GCN2, GCN20, AU041969, ENSMUSG00000038762, MGI:1351658, OTTMUSG00000037427, Abc50, D17Wsu166e, Abc5, D17Wsu166]	EpiMed GENSYM	9606	23	ABCF1	ATP binding cassette subfamily F member 1	6p21.33	6	active	protein-coding	[ENSG00000206490, ENSG00000236149, OTTHUMG00000031094, AF027302, ENSG00000204574, Q8NE71, MIM:603429, HGNC:70, NM_001025091, ABC50, RGD:620286, CCDS34380, CCDS34381, ABC27, ENSG00000231129, ENSG00000232169, ENSG00000225989, 70, MGI:1351658, EST123147, ABCF1, ENSG00000236342, uc003nql.4]	NCBI GENE
Detox	Abcf2	10090	27407	Abcf2	ATP-binding cassette, sub-family F member 2	5 A3|5 11.93 cM	5	active	protein-coding	[1351657, 0710005O05Rik, MGI:1351657, ENSMUSG00000028953, OTTMUSG00000053669, E430001O06, Dr, Drr3]	EpiMed GENSYM	9606	10061	ABCF2	ATP binding cassette subfamily F member 2	7q36.1	7	active	protein-coding	[RGD:1304942, MGI:1351657, MIM:612510, HUSSY-18, ENSG00000033050, uc003wjp.5, NM_005692, CCDS5923, M-ABC1, HGNC:71, Q9UG63, HUSSY18, AJ005016, CCDS5922, ENSG00000285292, ABC28, 71, ABCF2, OTTHUMG00000154570, EST133090]	NCBI GENE
Detox	Abcf3	10090	27406	Abcf3	ATP-binding cassette, sub-family F member 3	16 A3|16 12.46 cM	16	active	protein-coding	[AU016058, 1351656, BB119416, MGI:1351656, ENSMUSG00000003234, OTTMUSG00000023912, AI326318]	EpiMed GENSYM	9606	55324	ABCF3	ATP binding cassette subfamily F member 3	3q27.1	3	active	protein-coding	[U66685, OTTHUMG00000156824, MGI:1351656, EST201864, NM_018358, CCDS3254, CCDS87173, uc003fmz.3, HGNC:72, Q9NUQ8, MIM:618967, RGD:1310468, 72, ABCF3, ENSG00000161204]	NCBI GENE
